count,label,w,x,y,z
count,label,w,x,y,z
{"msg": "Still"}
1,RFA,0.9999,-0.0035,-0.0124,-0.0008
2,RFA,0.9997,-0.0037,-0.0091,-0.0219
3,RFA,0.9997,-0.0037,-0.0090,-0.0219
4,RFA,0.9997,-0.0037,-0.0089,-0.0219
5,RFA,0.9997,-0.0036,-0.0087,-0.0219
6,RFA,0.9997,-0.0036,-0.0086,-0.0219
7,RFA,0.9997,-0.0035,-0.0085,-0.0219
8,RFA,0.9997,-0.0035,-0.0084,-0.0219
9,RFA,0.9997,-0.0035,-0.0083,-0.0219
10,RFA,0.9997,-0.0035,-0.0082,-0.0219
11,RFA,0.9997,-0.0035,-0.0081,-0.0219
12,RFA,0.9997,-0.0034,-0.0080,-0.0219
13,RFA,0.9997,-0.0034,-0.0079,-0.0219
14,RFA,0.9997,-0.0034,-0.0078,-0.0219
15,RFA,0.9997,-0.0033,-0.0075,-0.0220
16,RFA,0.9997,-0.0032,-0.0074,-0.0220
17,RFA,0.9997,-0.0032,-0.0073,-0.0220
18,RFA,0.9997,-0.0032,-0.0072,-0.0220
19,RFA,0.9997,-0.0031,-0.0071,-0.0220
20,RFA,0.9997,-0.0031,-0.0070,-0.0220
21,RFA,0.9997,-0.0031,-0.0069,-0.0220
22,RFA,0.9997,-0.0031,-0.0068,-0.0220
23,RFA,0.9997,-0.0031,-0.0068,-0.0220
24,RFA,0.9997,-0.0030,-0.0067,-0.0220
25,RFA,0.9997,-0.0030,-0.0066,-0.0220
26,RFA,0.9997,-0.0030,-0.0065,-0.0221
27,RFA,0.9997,-0.0029,-0.0064,-0.0221
28,RFA,0.9997,-0.0029,-0.0063,-0.0221
29,RFA,0.9997,-0.0029,-0.0062,-0.0221
30,RFA,0.9997,-0.0029,-0.0062,-0.0221
31,RFA,0.9997,-0.0028,-0.0060,-0.0221
32,RFA,0.9997,-0.0028,-0.0059,-0.0222
33,RFA,0.9997,-0.0028,-0.0057,-0.0222
34,RFA,0.9997,-0.0028,-0.0057,-0.0222
35,RFA,0.9997,-0.0028,-0.0056,-0.0222
36,RFA,0.9997,-0.0027,-0.0056,-0.0222
37,RFA,0.9997,-0.0027,-0.0055,-0.0222
38,RFA,0.9997,-0.0027,-0.0051,-0.0222
39,RFA,0.9997,-0.0027,-0.0050,-0.0222
40,RFA,0.9997,-0.0026,-0.0046,-0.0223
41,RFA,0.9997,-0.0026,-0.0046,-0.0223
42,RFA,0.9997,-0.0026,-0.0046,-0.0223
43,RFA,0.9997,-0.0026,-0.0045,-0.0223
44,RFA,0.9997,-0.0025,-0.0045,-0.0223
45,RFA,0.9997,-0.0025,-0.0044,-0.0223
46,RFA,0.9997,-0.0025,-0.0042,-0.0223
47,RFA,0.9997,-0.0024,-0.0042,-0.0223
48,RFA,0.9997,-0.0024,-0.0041,-0.0223
49,RFA,0.9997,-0.0024,-0.0040,-0.0223
50,RFA,0.9997,-0.0024,-0.0040,-0.0223
51,RFA,0.9997,-0.0024,-0.0040,-0.0223
52,RFA,0.9997,-0.0024,-0.0039,-0.0224
53,RFA,0.9997,-0.0024,-0.0038,-0.0224
54,RFA,0.9997,-0.0024,-0.0038,-0.0224
55,RFA,0.9997,-0.0023,-0.0037,-0.0224
56,RFA,0.9997,-0.0023,-0.0037,-0.0224
57,RFA,0.9997,-0.0023,-0.0037,-0.0224
58,RFA,0.9997,-0.0023,-0.0037,-0.0224
59,RFA,0.9997,-0.0023,-0.0036,-0.0224
60,RFA,0.9997,-0.0023,-0.0035,-0.0224
61,RFA,0.9997,-0.0023,-0.0035,-0.0224
62,RFA,0.9997,-0.0023,-0.0035,-0.0225
63,RFA,0.9997,-0.0023,-0.0034,-0.0225
64,RFA,0.9997,-0.0023,-0.0034,-0.0225
65,RFA,0.9997,-0.0022,-0.0034,-0.0225
